listing_id,number_of_reviews,first_review,last_review,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
340706,97,3/13/12,12/14/15,2.09,96,10,10,10,10,10,10
341454,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353039,18,7/3/12,11/9/15,0.42,93,10,10,9,9,9,9
353110,11,4/3/12,9/24/15,0.24,96,10,10,10,10,10,10
353347,29,3/17/12,8/27/15,0.63,96,10,9,10,10,9,9
354453,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356566,13,3/25/12,2/23/14,0.28,100,10,10,10,10,10,10
356608,40,6/5/12,12/14/15,0.92,96,10,10,10,10,9,9
363064,37,8/2/14,12/21/15,2.13,97,10,10,10,10,10,10
365550,466,3/24/12,12/24/15,10.12,94,9,10,10,10,9,9
366301,9,6/29/15,10/8/15,1.42,91,9,9,10,10,9,9
368403,5,10/6/13,8/24/15,0.18,100,10,10,10,10,10,10
370361,113,4/2/12,12/26/15,2.47,98,10,10,10,10,10,10
380950,12,6/25/12,9/14/15,0.28,84,8,9,10,10,9,8
384797,21,5/23/12,9/3/15,0.48,97,9,10,10,10,10,9
385438,4,7/16/12,9/8/15,0.09,90,8,8,10,9,8,8
387078,52,12/23/12,11/1/15,1.41,96,10,10,9,10,10,9
387079,41,8/5/12,12/8/15,0.99,94,10,10,10,10,10,9
387464,147,3/30/12,12/12/15,3.2,99,10,10,10,10,10,10
392140,137,5/6/12,12/7/15,3.07,97,10,9,10,10,9,9
392779,80,6/7/12,12/1/15,1.84,98,10,10,10,10,9,9
394408,34,5/15/12,11/9/15,0.77,97,10,10,10,10,9,10
397117,265,4/1/12,12/19/15,5.79,95,10,9,10,10,10,9
408526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413733,31,7/6/15,12/21/15,5.08,99,10,10,10,10,10,10
421168,209,7/6/12,12/18/15,4.91,96,10,10,10,10,9,10
426089,29,6/4/12,12/20/15,0.66,92,9,9,10,10,10,9
429453,14,4/23/12,11/22/15,0.31,100,10,10,10,10,10,10
430453,48,4/22/13,9/11/15,1.46,97,9,9,10,10,10,9
430609,16,1/19/15,12/12/15,1.37,96,10,10,10,10,10,10
430610,70,8/14/12,10/24/15,1.69,97,10,10,10,10,10,9
442487,104,5/30/12,10/25/15,2.37,94,10,9,10,10,10,9
443580,99,6/7/12,12/19/15,2.27,86,9,9,9,9,9,9
443736,51,5/8/12,12/13/15,1.14,94,9,9,10,10,9,9
443942,13,1/2/14,8/14/15,0.53,94,9,10,9,9,10,9
444221,79,6/30/12,12/19/15,1.85,88,9,9,9,9,9,9
445199,84,6/18/12,11/1/15,1.94,98,10,10,10,10,9,10
446276,30,6/12/12,11/29/15,0.69,99,10,10,10,10,10,9
447488,51,8/12/12,9/29/15,1.23,94,9,9,10,10,10,9
447523,93,6/24/12,11/15/15,2.16,93,9,9,10,9,9,9
449602,108,5/4/12,12/28/15,2.42,98,10,10,10,10,10,10
451012,2,6/28/12,12/30/13,0.05,98,8,10,10,10,10,10
456040,207,5/17/12,12/9/15,4.68,96,10,10,10,10,10,10
458183,9,3/2/13,11/18/14,0.26,91,8,10,9,10,10,9
458186,14,5/29/12,3/13/15,0.32,95,9,9,9,10,10,10
458189,14,2/26/13,3/8/15,0.4,99,9,10,10,9,10,9
458191,11,8/7/13,3/13/15,0.37,100,10,10,10,10,10,10
458193,6,5/29/12,9/8/14,0.14,96,9,9,10,10,10,8
458197,7,5/29/12,9/8/14,0.16,83,9,9,10,9,9,9
461234,146,6/10/12,12/14/15,3.36,96,10,10,10,10,10,10
461567,117,7/29/12,12/14/15,2.8,94,9,10,10,10,9,9
463768,21,6/18/12,12/6/15,0.49,93,9,9,9,9,9,9
475361,80,6/29/12,11/1/15,1.87,95,10,10,10,10,9,10
479653,59,8/1/12,12/21/15,1.41,93,10,9,10,10,9,10
481220,164,7/17/12,12/14/15,3.88,98,10,10,10,10,10,10
486344,45,6/27/12,10/8/15,1.05,95,10,9,10,10,9,10
486829,53,6/8/12,7/1/15,1.22,92,9,9,10,10,9,9
488268,85,5/27/12,12/1/15,1.93,94,9,9,10,10,10,10
490076,84,5/28/14,12/27/15,4.29,90,9,9,10,10,10,9
491958,151,7/9/12,1/1/16,3.55,96,10,10,10,10,9,10
492287,71,6/3/12,11/29/15,1.62,93,10,10,10,10,9,10
493591,74,6/19/12,1/1/16,1.71,97,10,10,10,10,9,10
496074,80,8/12/12,11/17/15,1.93,94,9,10,10,10,10,9
506542,86,6/13/12,10/19/15,1.98,95,10,10,10,10,10,9
522287,203,6/18/12,12/14/15,4.7,95,9,10,10,10,10,9
523883,49,7/20/12,12/24/15,1.16,93,10,10,10,10,9,9
529090,95,4/1/13,9/15/15,2.82,93,9,10,10,10,10,9
533443,204,6/24/12,12/16/15,4.74,97,10,10,10,10,9,10
535300,115,6/29/12,11/16/15,2.68,92,9,9,10,10,10,9
544433,219,6/25/12,1/1/16,5.1,97,10,10,10,10,10,10
555182,13,11/4/13,8/7/15,0.49,88,9,10,9,10,9,9
555858,13,6/29/12,9/26/15,0.3,90,9,9,9,9,9,9
557126,175,8/21/12,12/20/15,4.26,97,10,10,10,10,10,10
565703,158,3/27/13,12/31/15,4.67,92,9,9,10,10,10,9
566435,37,9/4/12,9/7/15,0.91,95,9,10,10,10,9,9
571640,7,7/24/12,6/28/15,0.17,90,8,9,10,10,8,9
571651,4,12/14/13,3/1/14,0.16,86,9,8,10,10,8,8
573942,77,8/20/12,11/25/15,1.87,95,9,9,9,9,9,9
580182,92,9/24/12,12/6/15,2.3,97,9,9,10,10,10,9
580815,11,6/9/13,12/15/15,0.35,98,10,9,9,10,10,10
585418,146,9/14/12,9/30/15,3.63,98,10,10,10,10,9,10
587584,11,7/20/12,12/20/15,0.26,100,9,9,10,10,9,9
598023,8,8/11/13,8/11/15,0.27,98,9,10,10,10,10,9
604600,1,9/11/14,9/11/14,0.06,100,10,10,10,10,10,10
606297,81,8/10/12,12/25/15,1.95,87,8,8,9,9,8,8
607788,2,7/27/12,10/17/13,0.05,83,4,8,10,10,10,6
609252,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609421,2,8/10/14,6/15/15,0.12,90,8,10,10,10,9,9
609610,15,7/27/12,9/29/15,0.36,95,10,10,10,10,8,10
609701,233,7/29/12,12/31/15,5.57,98,10,10,10,10,10,10
610989,1,9/16/13,9/16/13,0.04,100,10,10,10,10,10,10
611500,29,8/14/12,9/20/15,0.7,86,9,9,10,10,8,8
611509,61,8/23/12,10/30/15,1.49,97,10,9,10,10,10,10
613020,105,7/30/12,8/15/15,2.51,97,10,10,10,10,10,10
613151,4,8/19/12,12/4/13,0.1,87,8,7,6,6,7,7
619366,146,8/10/12,12/10/15,3.52,98,10,10,10,10,10,10
631445,38,8/13/12,11/28/15,0.92,94,9,10,10,10,10,9
637326,18,5/22/15,1/2/16,2.37,97,10,10,10,10,10,10
637710,44,1/14/13,9/8/15,1.22,93,9,8,9,9,10,9
639130,2,7/28/15,9/7/15,0.37,80,9,7,8,9,10,10
649243,144,9/11/12,9/26/15,3.57,95,10,10,10,10,10,9
654734,37,10/15/12,10/21/15,0.94,92,9,9,10,10,10,9
656909,22,10/23/12,11/3/14,0.56,96,10,10,10,10,9,10
660603,10,11/3/12,12/11/15,0.26,96,10,10,9,9,10,9
666897,18,4/30/15,12/26/15,2.16,75,9,6,8,9,8,8
668169,16,9/3/12,8/25/15,0.39,93,9,9,10,10,10,10
